os,alg,pc,se,cn,m,cs,hackathons,certificaions_app development,certificaions_full stack,certificaions_hadoop,certificaions_information security,certificaions_machine learning,certificaions_python,certificaions_shell programming,interest_Analyst,interest_Cloud Computation,interest_Cloud Computing,interest_Data Engineer,interest_Hacking,interest_Management,interest_Networks,interest_Programming,interest_Security,interest_Software Engineer,interest_System Developer,interest_Testing,interest_Web Developer,leadership_No,leadership_Yes,team_No,team_Yes,Intro/Extro_Extrovert,Intro/Extro_Introvert,SelfCapabilities_No,SelfCapabilities_Yes,Management/Technical_Management,Management/Technical_Technical,Job_Business Intelligence Analyst,Job_Database Administrator,Job_Project Manager,Job_Security Administrator,Job_Software Developer,Job_Technical Support
-0.949977491,0.936632176,0.354208355,0.540938285,-0.534962797,0.703096497,0.781412451,-0.144352053,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0
1.355112957,-1.501702748,-0.616225494,-0.469355596,0.843179793,0.012219314,0.925482596,-1.32530695,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1
1.558503291,-1.772628851,-1.240075825,-0.738767298,0.567551275,0.357657906,-0.155043487,-0.734829502,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1
1.422909735,-1.637165799,1.116692093,0.204173658,1.807879606,0.979447371,-0.515218848,0.446125395,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
0.744941956,0.191585393,-0.33895868,-1.479649477,-1.224034092,-0.540482432,0.781412451,-0.144352053,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0
-1.560148492,0.530243022,-0.685542197,0.877702912,0.498644146,1.670324554,0.637342307,-0.144352053,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0
0.541551622,1.139826753,0.215574948,-1.412296552,-1.155126962,-0.402306995,0.42123709,0.446125395,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0
0.066974177,1.410752855,0.076941541,0.877702912,-1.568569739,0.703096497,1.213622885,-0.144352053,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0
1.490706513,-0.892119017,-1.170759122,0.002114882,0.567551275,-1.093184178,-0.155043487,-1.32530695,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1
0.744941956,-0.756655966,1.740542425,0.069467807,0.567551275,0.634008779,-0.731324065,1.036602843,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
-1.763538826,-1.433971222,0.146258244,0.204173658,-0.259334279,-0.747745587,0.277166946,-0.734829502,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0
-0.204212935,0.733437599,-0.269641977,1.079761688,-1.49966261,1.186710525,0.133096802,-0.144352053,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0
0.270364511,-0.553461389,-1.240075825,-0.199943894,1.601158218,-0.60957015,1.213622885,-1.32530695,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1
1.355112957,-1.027582068,-0.962809011,-1.008178999,1.118808311,-0.885921023,1.141587812,-0.734829502,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1
-0.543196824,0.123853868,0.423525058,0.540938285,-0.948405574,-0.816833305,0.781412451,0.446125395,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0
1.558503291,0.801169124,-0.477592087,-0.536708521,-0.810591315,0.426745624,0.997517668,0.446125395,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0
-0.543196824,-1.230776645,-1.309392529,0.810349987,0.429737016,0.426745624,1.285657957,-0.144352053,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0
0.880535512,1.072095227,-0.269641977,-0.873473149,0.429737016,0.495833343,0.853447524,-0.144352053,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0
-1.424554937,1.34302133,-0.477592087,1.483879241,-1.637476869,0.979447371,-0.010973343,-0.144352053,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0
-0.610993602,-0.68892444,-0.477592087,0.945055838,-1.568569739,-0.264131559,0.997517668,0.446125395,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0
0.677145178,1.072095227,0.492841762,-1.344943626,0.223015628,-0.540482432,-0.083008415,-1.32530695,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0
-1.424554937,-1.501702748,-1.309392529,0.271526584,0.429737016,-0.885921023,1.06955274,0.446125395,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0
1.355112957,1.546215907,-0.54690879,-0.806120223,0.016294239,-0.885921023,1.141587812,-0.144352053,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0
-1.288961381,1.139826753,-1.170759122,0.810349987,-0.466055667,1.739412272,0.565307235,-0.734829502,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0
-1.492351715,0.123853868,-0.824175604,0.271526584,-0.05261289,-0.747745587,0.781412451,-0.144352053,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0
-0.543196824,0.123853868,0.770108576,1.34917339,-0.534962797,-0.955008742,-0.659288992,1.627080291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0
-1.288961381,0.327048445,1.04737539,1.147114614,-0.603869926,0.012219314,-1.811850147,1.036602843,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0
